username,tweet_url,full_text
AjiJulian167957,https://x.com/AjiJulian167957/status/1788449499826061468,@MuhadklyAcho Alhamdulillah nambah lagi prestasi masyarakat Indonesia 
trey_3ex,https://x.com/trey_3ex/status/1760905210803929115,@sociotalker pajak naik harga pokok naik jd tambang nikel buat siap? lu sama antek lu doang kan yg untung?
cnbcindonesia,https://x.com/cnbcindonesia/status/1795457640895504627,Video: Karpet Merah Mobil Listrik China di Indonesia https://t.co/YyUZV8XD4Y
asamlambungenak,https://x.com/asamlambungenak/status/1785313197437927828,@ridwanhr Kaum jomblo paling seneng adanya fitur bisa nyetir sendiri Kalo fiturnya harus nyetir berdua susah kudu ada pasangannya
nornormale,https://x.com/nornormale/status/1760662405410066931,@sociotalker Hilirasi vibes batre e-vehicle tesla berubah jadi warteg s cutlery
alenliaansyah,https://x.com/alenliaansyah/status/1789910377595105653,@investorgabut Ada podcast dr orang mekaniknya. Better untuk short term period ini mending pilih hybrid instead of full EV. Karena spare part yang sulit di EV dan kalo rusak 1 komponen kelistrikan bisa seharga mobil itu sendiri.
Wahyu_edin,https://x.com/Wahyu_edin/status/1786529263329616141,@AzzamIzzulhaq Ya klo tidak di korup maling berdasi.. ya pasti udah ada semua itu ustad
ysznprd,https://x.com/ysznprd/status/1790276202546245832,@lhayesno Hyundai kasih garansi baterai 8 tahun. Beberapa mobil listrik merk lain juga kurleb sama masa garansinya. Jadi penggantian baterai dilakukan (minimal) setelah 8 tahun pemakaian. Bisa jadi lebih awet. Dan perhitungkan juga penurunan harga baterai
PapaQuon,https://x.com/PapaQuon/status/1790310906204955002,@lhayesno Itung2an itu tergantung jenis baterai juga contoh airev itu pakai lithium fero phosphate (LFP) cycle bisa 4000-6000 kali anggep aja 150km per cycle itu minimum 600rb km. Mobil saya sebelumnya 10 taun itu 150rb km atau 15rb/th. Jadi kira2 bakal habis cycle di 40th anggep 
katadataoto,https://x.com/katadataoto/status/1795779654802079843,Neta Auto Indonesia baru saja menjalani kerja sama dengan Permata Bank buat pembiayaan mobil listrik mereka https://t.co/FfLx3J2Znw
rushley94,https://x.com/rushley94/status/1782232212819280237,@SelebtwitMobil @hanmula Ssd sekarang mahal hloh Maret kemaren ane beli 1TB gen4 harga 1.4jt 2023 september akhir dengan harga sama dapet 2TB... Sekarang kalo mau dapet 2TB harus rogoh kocek 2jt keatas
mementomolli,https://x.com/mementomolli/status/1788572141891547158,@MuhadklyAcho masih adaa nih iklannya dealer pusat https://t.co/Wo0pWPsMYs
100kpjcom,https://x.com/100kpjcom/status/1775788732932579378,Perang mobil China bukan terjadi pada segmen listrik berbasis baterai melainkan hybrid yang menggabungkan mesin bensin dengan motor listrik penggerak roda. Seperti halnya duel BYD dan Geely. Selengkapnya: https://t.co/vExlGWRae9 ___ #100kpjcom #Mobilhybrid #China https://t.co/yoebSeFYsz
GANADIYAG,https://x.com/GANADIYAG/status/1782263657272938877,@SelebtwitMobil Yg slc tetep mahal dan langka dan paling bagus
MSNindonesia,https://x.com/MSNindonesia/status/1794881379878019291,Hyundai: Ketidakpastian Regulasi Bikin Konsumen Tunda Beli Mobil Listrik https://t.co/7jNxdgx63L
bakanosan1,https://x.com/bakanosan1/status/1786603378883338622,@AzzamIzzulhaq Ayeuna pesawatna ngan jadi pajangan di museum pejabatna leuwih mikir sorangan keluarga jeung kelompokna koplok lah..
Sitikho24969036,https://x.com/Sitikho24969036/status/1760847076777410673,@sociotalker org yg sama dulu ngomong ttg esemka 
detikoto,https://x.com/detikoto/status/1775727693264560456,VinFast Tawarkan Langganan Baterai Mobil Listrik Tarif Sewa Mulai Rp 1 5 Juta Sebulan https://t.co/22TSBvoQPF
wannafigh,https://x.com/wannafigh/status/1790280997495509003,@lhayesno Mobil Listrik itu membatasi mobilitas manusia. Full charge cuma bisa 200km Terus tempat cas masih terbatas dan sekali cas itu bisa 6-8 jam buat full Pom bensin aja antriannya udah sepanjang itu Ada 3 mobil antri ngecas aja udah 24 jam bs pasang tenda nginep
Renezance201,https://x.com/Renezance201/status/1753287818057805921,@ainunrozi @tanyakanrl Biar pabrik2 EV mau buka di indo biar nyerap lapangan kerja banyak
Adinda20101,https://x.com/Adinda20101/status/1789885549085405574,@investorgabut Bukan apa apa duitnya emang belum ada om
detikcom,https://x.com/detikcom/status/1752907626369683685,Harga mobil listrik BYD di Indonesia masih ditutup rapat-rapat. Kenapa begitu? https://t.co/7tnpUXbawr
elkecinkdotcom,https://x.com/elkecinkdotcom/status/1790265575920504955,@investorgabut Naik kendaraan umum saja biar ngurangi macet
m4_rho,https://x.com/m4_rho/status/1784785734039482736,Kesiapan SPKLU PLN Diapresiasi Pemudik Semua Lancar dan Banyak Fasilitas Pendukungnya...! https://t.co/iEpaMScJI3
kpgnj,https://x.com/kpgnj/status/1777588328738549776,Ho oh. Sekarang bayangkan kalau semua pakai mobil dan motor listrik tetap commute dari pinggir ke tengah kota pp tiap hari karena ngga ada hunian terjangkau di tengah kota dan listrik buat cas baterai tetap dari batubara. Poin yang ciamik Bang Piotr. 
kenarrox,https://x.com/kenarrox/status/1750142543843697033,@mouldie_sep Secara prinsip elektfikasi banyak (transportasi kompor dst) hal itu benar karena emang lebih efisien. Tapi direncanakan yang bener bukan karena oversuplly pembangkit listrik. Ingat juga untuk transportasi prioritasnya masal dulu baru pribadi kalo nggak macetnya sama.
tvOneNews,https://x.com/tvOneNews/status/1782576255650660862,Tesla-nya Elon Musk Diskon Harga Mobil Listrik Hingga Rp32 Juta Harga Seri Termurah Model Y Ternyata Masih Rp697 Juta: Sejak akhir pekan lalu Tesla memberi diskon harga hingga 2.000 dolar AS atau sekitar Rp32 juta rupiah untuk tiga seri mobil https://t.co/SSlNEV1Xv8 https://t.co/Dtx335MZRw
syafi_tawakarun,https://x.com/syafi_tawakarun/status/1774361416079978755,@ridwanhr Apa mobil ESEMKA
R_180208,https://x.com/R_180208/status/1754104326115762502,@detikcom Ya bisa dong dj Malaysia gak ada Luhut Bahlil Erik tohir dan joko widodo.
